aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.4981484	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.5286157	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.5612204	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.5924883	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.6248755	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.6544108	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.6843903	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.7156606	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.7469344	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.7832358	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.813543	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.8447452	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.876463	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.9057686	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.9355633	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.9672675	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504772.997737	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.0277002	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.0579886	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.0894501	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.1195495	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.150508	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.189336	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.220133	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.2511353	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.2813663	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.3118224	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.3452907	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.3794363	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.4099996	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.441407	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.4715347	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.5024161	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.53258	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.5647058	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.6011794	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.6312442	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.6620905	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.6933975	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.723605	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.755682	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.7966943	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.8275883	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.8581104	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.8897986	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.919103	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.9515216	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504773.9879248	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.019643	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.0498266	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.0800586	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.111372	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.1416895	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.1720738	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.2034004	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.2336304	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.264032	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.2955844	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.3259015	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.357423	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.3955333	12.5
-2.96	-0.12	-0.09	-0.75	-0.81	0.65	0.66	0.0	-0.08	-1.92	0.47	0.05	-3.19	0.24	0.12	1593504774.4246898	12.5
